StockCode,Description,Quantity,TotalAmount,InvoiceNo,AvgOrderValue
21936,Red Retrospot Picnic Bag,3758,10371.66,385,26.94
21937,Strawberry   Picnic Bag,1591,4433.45,206,21.52
21942,Skulls Design Flannel,161,134.55,23,5.85
21943,Cakes And Rabbits Design Flannel,57,48.45,10,4.85
21944,Kittens Design Flannel,232,177.88,33,5.39
21945,Strawberries  Design Flannel,225,190.79,29,6.58
21946,Party Time Design Flannel,72,58.9,11,5.35
21947,Set Of 6 Heart Chopsticks,596,743.98,82,9.07
21948,Set Of 6 Cake Chopsticks,418,543.07,54,10.06
21949,Set Of 6 Strawberry Chopsticks,613,725.49,59,12.3
21955,Doormat Union Jack Guns And Roses,1159,6635.61,155,42.81
21967,Pack Of 12 Skull Tissues,5166,1506.24,173,8.71
21972,Set Of 36 Dinosaur Paper Doilies,292,423.4,39,10.86
21973,Set Of 36 Mushroom Paper Doilies,159,230.55,30,7.68
21974,Set Of 36 Paisley Flower Doilies,2036,2942.51,229,12.85
21975,Pack Of 60 Dinosaur Cake Cases,12134,5934.68,529,11.22
21976,Pack Of 60 Mushroom Cake Cases,4967,2513.13,276,9.11
21977,Pack Of 60 Pink Paisley Cake Cases,24264,11629.7,669,17.38
21980,Pack Of 12 Red Retrospot Tissues,6523,2003.31,250,8.01
21981,Pack Of 12 Woodland Tissues,5295,1512.93,190,7.96
21982,Pack Of 12 Suki Tissues,7346,2083.58,259,8.04
21983,Pack Of 12 Blue Paisley Tissues,2223,712.73,124,5.75
21984,Pack Of 12 Pink Paisley Tissues,3309,1003.95,157,6.39
21985,Pack Of 12 Hearts Design Tissues,8569,2550.29,354,7.2
21986,Pack Of 12 Pink Polkadot Tissues,3985,1129.79,155,7.29
21987,Pack Of 6 Skull Paper Cups,2050,1254.74,147,8.54
21988,Pack Of 6 Skull Paper Plates,2194,1663.3,147,11.31
21989,Pack Of 20 Skull Paper Napkins,2068,1675.24,205,8.17
21990,Modern Floral Stationery Set,1219,1745.05,177,9.86
21991,Bohemian Collage Stationery Set,471,675.53,102,6.62
21992,Vintage Paisley Stationery Set,1163,1658.69,199,8.34
21993,Floral Folk Stationery Set,1366,1934.85,205,9.44
22021,Blue Felt Easter Egg Basket,350,577.5,64,9.02
22023,Empire Birthday Card,1143,481.29,84,5.73
22024,Rainy Ladies Birthday Card,2304,928.99,129,7.2
22025,Ring Of Roses Birthday Card,1776,707.04,87,8.13
22026,Banquet Birthday  Card,1572,647.28,100,6.47
22027,Tea Party Birthday Card,4165,1702.79,262,6.5
22028,Penny Farthing Birthday Card,2915,1203.49,185,6.51
22029,Spaceboy Birthday Card,7858,3130.22,394,7.94
22030,Swallows Greeting Card,5361,2130.63,242,8.8
22031,Botanical Lavender Birthday Card,363,158.61,32,4.96
22032,Botanical Lily Greeting Card,361,151.62,31,4.89
22033,Botanical Rose Greeting Card,336,141.12,21,6.72
22034,Robin Christmas Card,3,1.26,1,1.26
22035,Vintage Caravan Greeting Card,1406,574.06,87,6.6
22037,Robot Birthday Card,3795,1573.12,257,6.12
22038,Botanical Lavender Gift Wrap,475,199.5,19,10.5
22039,Botanical Lily Gift Wrap,250,105.0,7,15.0
22040,Botanical Rose Gift Wrap,725,304.5,28,10.88
22041,"Record Frame 7"" Single Size",3812,8450.82,196,43.12
22042,Christmas Card Singing Angel,372,156.24,25,6.25
22043,Christmas Card Screen Print,1188,283.32,43,6.59
22044,Christmas Card Stack Of Presents,816,196.44,36,5.46
22045,Spaceboy Gift Wrap,6502,2662.84,206,12.93
22046,Tea Party  Wrapping Paper,2250,929.0,75,12.39
22047,Empire Gift Wrap,3400,1384.0,105,13.18
22048,Birthday Banquet Gift Wrap,975,393.5,32,12.3
22049,Wrap Christmas Screen Print,1025,275.25,31,8.88
22050,Pink Paisley Rose Gift Wrap,1225,498.5,40,12.46
22051,Blue Scandinavian Paisley Wrap,1000,420.0,39,10.77
22052,Vintage Caravan Gift Wrap,571,239.82,23,10.43
22053,Empire Design Rosette,4236,3596.42,26,138.32
22055,Mini Cake Stand  Hanging Strawbery,1253,1665.08,142,11.73
22057,Ceramic Plate Strawberry Design,578,648.18,56,11.57
22059,Ceramic Strawberry Design Mug,1749,1973.17,142,13.9
22060,Large Cake Stand Hanging Hearts,233,1118.95,34,32.91
22061,Large Cake Stand  Hanging Strawbery,565,3864.63,129,29.96
22062,Ceramic Bowl With Love Heart Design,595,603.89,53,11.39
22063,Ceramic Bowl With Strawberry Design,544,1127.2,81,13.92
22064,Pink Doughnut Trinket Pot,1608,2142.6,164,13.06
22065,Christmas Pudding Trinket Pot,6452,2892.02,165,17.53
22066,Love Heart Trinket Pot,2248,1035.38,131,7.9
22067,Choc Truffle Gold Trinket Pot,389,569.13,48,11.86
22068,Black Pirate Treasure Chest,437,509.37,81,6.29
22069,Brown  Pirate Treasure Chest,220,240.78,37,6.51
22070,Small Red Retrospot Mug In Box,874,2034.43,84,24.22
22071,Small White Retrospot Mug In Box,711,1298.79,72,18.04
22072,Red Retrospot Tea Cup And Saucer,813,2539.19,139,18.27
22073,Red Retrospot Storage Jar,300,1074.6,45,23.88
22074,6 Ribbons Shimmering Pinks,1001,774.59,75,10.33
22075,6 Ribbons Elegant Christmas,1565,2019.23,120,16.83
22076,6 Ribbons Empire,1035,1304.37,113,11.54
22077,6 Ribbons Rustic Charm,8605,14988.59,726,20.65
22078,Ribbon Reel Lace Design,1300,2610.0,143,18.25
22079,Ribbon Reel Hearts Design,1715,2831.99,225,12.59
22080,Ribbon Reel Polkadots,1182,1902.3,126,15.1
22081,Ribbon Reel Flora + Fauna,595,994.87,89,11.18
22082,Ribbon Reel Stripes Design,2558,4208.78,334,12.6
22083,Paper Chain Kit Retrospot,4307,12043.21,444,27.12
22084,Paper Chain Kit Empire,4893,13435.15,374,35.92
22085,Paper Chain Kit Skulls,507,1415.65,73,19.39
22086,Paper Chain Kit 50'S Christmas,15617,42660.83,980,43.53
22087,Paper Bunting White Lace,3779,10264.05,257,39.94
22088,Paper Bunting Coloured Lace,1698,4683.1,169,27.71
22089,Paper Bunting Vintage Paisley,1214,3398.5,181,18.78
22090,Paper Bunting Retrospot,6903,18791.89,568,33.08
22091,Empire Tissue Box,1945,922.79,130,7.1
22092,Blue Paisley Tissue Box,668,312.34,88,3.55
22093,Motoring Tissue Box,1828,806.76,153,5.27
22094,Red Retrospot Tissue Box,2087,933.24,145,6.44
22095,Lads Only Tissue Box,1578,1432.04,102,14.04
22096,Pink Paisley Square Tissue Box,1364,564.48,109,5.18
22097,Swallow Square Tissue Box,1591,692.73,132,5.25
22098,Boudoir Square Tissue Box,1957,911.72,143,6.38
22099,Caravan Square Tissue Box,1405,707.63,122,5.8
22100,Skulls Square Tissue Box,729,305.81,38,8.05
22101,Mirror Mosaic Votive Holder,837,631.62,24,26.32
22102,Mirror Mosaic T-Light Holder,1533,715.05,18,39.72
22103,Mirror Mosaic T-Light Holder Round,1165,714.09,15,47.61
22104,Mirror Mosaic Candle Plate,151,120.07,12,10.01
22105,Mirror Mosaic Goblet Candle Holder,506,566.5,10,56.65
22106,Mirror Mosaic Hurricane Lamp,286,584.9,12,48.74
22107,Pizza Plate In Box,293,967.48,69,14.02
22108,Ping! Microwave Plate,101,246.53,28,8.8
22109,Full English Breakfast Plate,1383,4993.05,158,31.6
22110,Bird House Hot Water Bottle,618,1564.61,154,10.16
22111,Scottie Dog Hot Water Bottle,4259,20104.35,656,30.65
22112,Chocolate Hot Water Bottle,5160,23624.24,700,33.75
22113,Grey Heart Hot Water Bottle,3156,12191.15,511,23.86
22114,Hot Water Bottle Tea And Sympathy,3736,15415.22,514,29.99
22115,Metal Sign Empire Tea,1495,1706.81,183,9.33
22116,Metal Sign His Dinner Is Served,505,493.39,90,5.48
22117,Metal Sign Her Dinner Is Served,1290,3802.5,72,52.81
22118,Joy Wooden Block Letters,219,748.83,78,9.6
22119,Peace Wooden Block Letters,348,1731.36,103,16.81
22120,Welcome  Wooden Block Letters,505,4856.52,167,29.08
22121,Noel Wooden Block Letters,333,1930.89,114,16.94
22123,Ping Microwave Apron,443,794.39,72,11.03
22124,Set Of 2 Tea Towels Ping Microwave,79,130.37,23,5.67
22125,Union Jack Hot Water Bottle,4,23.8,1,23.8
22127,Party Cones Carnival Assorted,402,479.7,20,23.98
22128,Party Cones Candy Assorted,1729,2042.69,72,28.37
22129,Party Cones Candy Tree Decoration,992,790.56,36,21.96
22130,Party Cone Christmas Decoration,1505,1260.53,88,14.32
22131,Food Container Set 3 Love Heart,1890,3370.42,180,18.72
22132,Red Love Heart Shape Cup,935,772.91,83,9.31
22133,Pink Love Heart Shape Cup,702,585.78,60,9.76
22134,Ladle Love Heart Red,637,255.18,55,4.64
22135,Ladle Love Heart Pink,262,114.96,48,2.4
22136,Love Heart Sock Hanger,334,531.9,50,10.64
22137,Bathroom Set Love Heart Design,68,191.0,11,17.36
22138,Baking Set 9 Piece Retrospot,4797,23007.55,854,26.94
22139,Retrospot Tea Set Ceramic 11 Pc,4248,20470.78,823,24.87
22141,Christmas Craft Tree Top Angel,2448,5025.58,348,14.44
22142,Christmas Craft White Fairy,3073,4339.29,321,13.52
22144,Christmas Craft Little Friends,3468,7128.1,421,16.93
22145,Christmas Craft Heart Stocking,30,63.0,1,63.0
22146,Easter Craft Ivy Wreath With Chick,1,1.95,1,1.95
22147,Feltcraft Butterfly Hearts,6127,8314.55,436,19.07
22148,Easter Craft 4 Chicks,1819,3367.05,159,21.18
22149,Feltcraft 6 Flower Friends,5890,11566.39,461,25.09
22150,3 Stripey Mice Feltcraft,2923,5478.05,402,13.63
22151,Place Setting White Heart,14877,5922.27,289,20.49
22152,Place Setting White Star,2351,967.55,93,10.4
22153,Angel Decoration Stars On Dress,2459,1012.62,86,11.77
22154,Angel Decoration 3 Buttons,3532,1457.52,111,13.13
22155,Star Decoration Rustic,2203,925.26,85,10.89
22156,Heart Decoration With Pearls,1875,1588.16,152,10.45
22157,Angel Decoration With Lace Padded,212,180.2,11,16.38
22158,3 Hearts Hanging Decoration Rustic,2895,8161.21,261,31.27
22161,Heart Decoration Rustic Hanging,4143,857.33,153,5.6
22162,Heart Garland Rustic Padded,108,312.7,27,11.58
22163,Heart String Memo Holder Hanging,626,580.94,49,11.86
22164,String Of Stars Card Holder,71,209.45,12,17.45
22165,"Diamante Heart Shaped Wall Mirror,",267,1490.65,38,39.23
22166,Wall Mirror Rectangle Diamante Pink,122,489.9,16,30.62
22167,Oval Wall Mirror Diamante,122,1059.95,59,17.97
22168,Organiser Wood Antique White,140,1171.3,76,15.41
22169,Family Album White Picture Frame,1075,8416.64,286,29.43
22170,Picture Frame Wood Triple Portrait,1023,6378.15,225,28.35
22171,3 Hook Photo Shelf Antique White,1723,12294.38,304,40.44
22173,Metal 4 Hook Hanger French Chateau,2151,6273.29,337,18.62
22174,Photo Cube,2688,4032.56,169,23.86
22175,Pink Owl Soft Toy,841,2384.95,139,17.16
22176,Blue Owl Soft Toy,489,1423.35,98,14.52
22178,Victorian Glass Hanging T-Light,22433,28776.51,815,35.31
22179,Set 10 Lights Night Owl,796,5110.74,178,28.71
22180,Retrospot Lamp,303,2962.65,131,22.62
22181,Snowstorm Photo Frame Fridge Magnet,577,477.97,46,10.39
22182,Cake Stand Victorian Filigree Small,206,723.7,36,20.1
22183,Cake Stand Victorian Filigree Med,74,466.95,17,27.47
22184,Cake Stand Victorian Filigree Large,8,68.0,4,17.0
22185,Slate Tile Natural Hanging,1428,2029.7,126,16.11
22186,Red Star Card Holder,801,1723.79,118,14.61
22187,Green Christmas Tree Card Holder,1183,2562.27,145,17.67
22188,Black Heart Card Holder,4844,12261.9,166,73.87
22189,Cream Heart Card Holder,8195,22715.57,452,50.26
22190,Local Cafe Mug,566,785.13,52,15.1
22191,Ivory Diner Wall Clock,1426,11587.2,391,29.63
22192,Blue Diner Wall Clock,907,7528.93,338,22.27
22193,Red Diner Wall Clock,1352,11074.39,416,26.62
22194,Black Diner Wall Clock,53,450.5,33,13.65
22195,Large Heart Measuring Spoons,1699,2841.87,220,12.92
22196,Small Heart Measuring Spoons,2385,2013.73,247,8.15
22197,Small Popcorn Holder,49183,37226.43,1035,35.97
22198,Large Popcorn Holder,873,1370.45,53,25.86
22199,Frying Pan Red Retrospot,384,1328.5,98,13.56
22200,Frying Pan Pink Polkadot,326,1209.54,76,15.92
22201,Frying Pan Blue Polkadot,108,366.0,40,9.15
22202,Milk Pan Pink Polkadot,39,146.25,17,8.6
22203,Milk Pan Red Retrospot,310,996.13,91,10.95
22204,Milk Pan Blue Polkadot,96,302.5,30,10.08
22207,Frying Pan Union Flag,1200,4731.36,113,41.87
22208,Wood Stamp Set Thank You,1289,1234.1,199,6.2
22209,Wood Stamp Set Happy Birthday,825,802.82,121,6.63
22210,Wood Stamp Set Best Wishes,914,822.57,142,5.79
22211,Wood Stamp Set Flowers,783,808.38,126,6.42
22212,Four Hook  White Lovebirds,1422,2917.47,253,11.53
22214,Candle Plate Lace White,114,246.7,21,11.75
22215,Cake Stand White Two Tier Lace,330,2254.5,89,25.33
22216,T-Light Holder White Lace,327,182.31,20,9.12
22217,T-Light Holder Hanging Lace,765,647.51,64,10.12
22218,Cake Stand Lace White,1,4.25,1,4.25
22219,Lovebird Hanging Decoration White,3372,2818.62,311,9.06
22220,Cake Stand Lovebird 2 Tier White,214,1499.5,74,20.26
22221,Cake Stand Lovebird 2 Tier Pink,124,964.4,44,21.92
22222,Cake Plate Lovebird White,824,2599.2,149,17.44
22223,Cake Plate Lovebird Pink,315,902.85,42,21.5
22224,White Lovebird Lantern,688,1973.6,115,17.16
22227,Hanging Heart Mirror Decoration,1969,1276.85,170,7.51
22228,Bunny Wooden Painted With Bird,852,598.16,93,6.43
22229,Bunny Wooden Painted With Flower,495,334.27,62,5.39
22230,Jigsaw Tree With Watering Can,926,356.46,63,5.66
22231,Jigsaw Tree With Birdhouse,869,823.17,106,7.77
22232,Jigsaw Toadstools 3 Piece,623,506.43,61,8.3
22233,Jigsaw Rabbit And Birdhouse,541,515.29,77,6.69
22236,Cake Stand 3 Tier Magic Garden,308,3624.6,88,41.19
22241,Garland Wooden Happy Easter,1788,2180.28,165,13.21
22242,5 Hook Hanger Magic Toadstool,631,964.35,27,35.72
22243,5 Hook Hanger Red Magic Toadstool,3055,4596.75,108,42.56
22244,3 Hook Hanger Magic Garden,1617,2915.55,94,31.02
22245,"Hook, 1 Hanger ,Magic Garden",1199,966.11,56,17.25
22246,"Garland, Magic Garden 1.8M",278,555.18,36,15.42
22247,Bunny Decoration Magic Garden,485,408.09,56,7.29
22248,Decoration  Pink Chick Magic Garden,383,321.39,44,7.3
22249,Decoration White Chick Magic Garden,645,544.09,75,7.25
22250,Decoration  Butterfly  Magic Garden,449,377.49,57,6.62
22251,Birdhouse Decoration Magic Garden,520,645.44,72,8.96
22252,Birdcage Decoration Tealight Holder,650,770.32,67,11.5
22254,Felt Toadstool Large,594,706.02,41,17.22
22255,Felt Toadstool  Small,542,460.7,44,10.47
22256,Felt Farm Animal Chicken,262,327.5,33,9.92
22257,Felt Farm Animal Sheep,283,194.39,16,12.15
22258,Felt Farm Animal Rabbit,722,543.94,36,15.11
22259,Felt Farm Animal Hen,384,240.96,16,15.06
22260,Felt Egg Cosy Blue Rabbit,410,351.62,47,7.48
22261,Felt Egg Cosy White Rabbit,520,447.46,70,6.39
22262,Felt Egg Cosy Chicken,924,788.52,90,8.76
22263,Felt Egg Cosy Ladybird,256,125.68,18,6.98
22264,Felt Farm Animal White Bunny,1393,518.77,40,12.97
22265,Easter Decoration Natural Chick,514,334.1,48,6.96
22266,Easter Decoration Hanging Bunny,1861,563.35,78,7.22
22267,Easter Decoration Egg Bunny,828,654.7,75,8.73
22268,Easter Decoration Sitting Bunny,1838,666.44,95,7.02
22269,Egg Cup Natural Chicken,841,521.73,87,6.0
22270,Happy Easter Hanging Decoration,211,773.97,42,18.43
22271,Feltcraft Doll Rosie,1653,4716.87,256,18.43
22272,Feltcraft Doll Maria,194,553.1,46,12.02
22273,Feltcraft Doll Molly,4469,11762.99,293,40.15
22274,Feltcraft Doll Emily,1301,3732.15,231,16.16
22275,Weekend Bag Vintage Rose Paisley,69,527.85,1,527.85
22276,Wash Bag Vintage Rose Paisley,253,645.15,62,10.41
22277,Cosmetic Bag Vintage Rose Paisley,355,728.62,63,11.57
22278,Overnight Bag Vintage Rose Paisley,244,1207.8,82,14.73
22279,Pocket Bag Blue Paisley Red Spot,480,578.41,46,12.57
22280,Pocket Bag Pink Paisely Brown Spot,177,224.88,30,7.5
22281,Easter Tree Yellow Birds,109,648.55,43,15.08
22282,12 Egg House Painted Wood,111,1425.27,64,22.27
22283,6 Egg House Painted Wood,258,2058.94,117,17.6
22284,Hen House Decoration,901,1486.65,99,15.02
22285,"Decoration Hen On Nest, Hanging",834,1376.1,90,15.29
22286,"Decoration , Wobbly Rabbit , Metal",1051,867.27,79,10.98
22287,"Decoration , Wobbly Chicken, Metal",750,633.96,57,11.12
22288,Hanging Metal Rabbit Decoration,453,566.25,39,14.52
22289,Hanging Metal Chicken Decoration,126,157.5,19,8.29
22291,Hanging Chick Cream Decoration,1243,1802.35,90,20.03
22292,Hanging Chick  Yellow Decoration,1088,1520.0,88,17.27
22293,Hanging Chick Green Decoration,821,1190.45,82,14.52
22294,Heart Filigree Dove  Small,5439,6671.07,246,27.12
22295,Heart Filigree Dove Large,2737,4420.17,212,20.85
22296,Heart Ivory Trellis Large,3055,4988.83,270,18.48
22297,Heart Ivory Trellis Small,3863,4715.03,221,21.33
22299,Pig Keyring With Light & Sound,1316,1231.34,42,29.32
22300,Coffee Mug Dog + Ball Design,1450,3047.34,143,21.31
22301,Coffee Mug Cat + Bird Design,2118,4529.34,181,25.02
22302,Coffee Mug Pears  Design,2288,4959.85,190,26.1
22303,Coffee Mug Apples Design,2770,6124.15,229,26.74
22304,Coffee Mug Blue Paisley Design,744,1268.06,47,26.98
22305,Coffee Mug Pink Paisley Design,684,1559.44,44,35.44
22306,Silver Mug Bone China Tree Of Life,1138,1303.29,99,13.16
22307,Gold Mug Bone China Tree Of Life,729,835.61,61,13.7
22308,Tea Cosy Blue Stripe,145,356.89,36,9.91
22309,Tea Cosy Red  Stripe,293,709.38,64,11.08
22310,Ivory Knitted Mug Cosy,531,841.79,51,16.51
22311,Office Mug Warmer Black+Silver,1054,2925.5,93,31.46
22312,Office Mug Warmer Polkadot,503,1454.99,93,15.65
22313,Office Mug Warmer Pink,553,1482.89,54,27.46
22314,Office Mug Warmer Choc+Blue,517,1434.09,93,15.42
22315,200 Red + White Bendy Straws,761,914.77,119,7.69
22316,200 Bendy Skull Straws,638,706.3,41,17.23
22317,Five Cats Hanging Decoration,172,506.32,39,12.98
22318,Five Heart Hanging Decoration,396,1161.0,89,13.04
22319,Hairclips Forties Fabric Assorted,1346,587.86,61,9.64
22320,Birds Mobile Vintage Design,183,1100.21,69,15.95
22321,Bird Decoration Red Retrospot,760,646.0,57,11.33
22322,Bird Decoration Green Polkadot,390,331.5,37,8.96
22323,Pink Polkadot Kids Bag,1,1.95,1,1.95
22324,Blue Polkadot Kids Bag,228,456.36,29,15.74
22325,Mobile Vintage Hearts,153,755.25,58,13.02
22326,Round Snack Boxes Set Of4 Woodland,8100,22175.52,595,37.27
22327,Round Snack Boxes Set Of 4 Skulls,832,2358.4,162,14.56
22328,Round Snack Boxes Set Of 4 Fruits,6481,17604.99,458,38.44
22329,Round Container Set Of 5 Retrospot,1387,2182.95,151,14.46
22331,Woodland Party Bag + Sticker Set,1768,2750.96,143,19.24
22332,Skulls Party Bag + Sticker Set,982,1562.7,129,12.11
22333,Retrospot Party Bag + Sticker Set,4391,6749.23,267,25.28
22334,Dinosaur Party Bag + Sticker Set,684,1101.44,91,12.1
22335,Heart Decoration Painted Zinc,2024,1250.2,123,10.16
22336,Dove Decoration Painted Zinc,2283,668.09,49,13.63
22337,Angel Decoration Painted Zinc,635,383.95,26,14.77
22338,Star Decoration Painted Zinc,4179,925.71,116,7.98
22339,Christmas Tree Painted Zinc,2283,569.29,51,11.16
22340,Noel Garland Painted Zinc,993,430.23,61,7.05
22341,Love Garland Painted Zinc,405,672.65,41,16.41
22342,Home Garland Painted Zinc,833,769.65,52,14.8
22343,Party Pizza Dish Red Retrospot,1705,744.91,63,11.82
22344,Party Pizza Dish Pink Polkadot,1049,373.31,46,8.12
22345,Party Pizza Dish Blue Polkadot,972,318.48,41,7.77
22346,Party Pizza Dish Green Polkadot,885,309.69,32,9.68
22348,Tea Bag Plate Red Retrospot,3863,3223.49,254,12.69
22349,Dog Bowl Chasing Ball Design,1341,5227.93,114,45.86
22350,Illustrated Cat Bowl,1356,3586.32,88,40.75
22351,Dotcomgiftshop Tea Towel,12,19.8,1,19.8
22352,Lunch Box With Cutlery Retrospot,2853,6717.79,324,20.73
22353,Lunch Box With Cutlery Fairy Cakes,61,155.55,24,6.48
22354,Retrospot Padded Seat Cushion,700,2502.82,65,38.5
22355,Charlotte Bag Suki Design,8975,7138.65,585,12.2
22356,Charlotte Bag Pink Polkadot,7306,5840.64,487,11.99
22357,Kings Choice Biscuit Tin,324,1332.6,87,15.32
22358,Kings Choice Tea Caddy,456,1341.28,110,12.19
22359,Glass Jar Kings Choice,162,480.74,62,7.75
22360,Glass Jar English Confectionery,886,2455.9,143,17.17
22361,Glass Jar Daisy Fresh Cotton Wool,539,1513.25,123,12.3
22362,Glass Jar Peacock Bath Salts,349,987.23,81,12.19
22363,Glass Jar Marmalade,454,1226.94,57,21.53
22364,Glass Jar Digestive Biscuits,519,1429.97,95,15.05
22365,Doormat Respectable House,730,4873.44,126,38.68
22366,Doormat Airmail,722,4887.82,156,31.33
22367,Childrens Apron Spaceboy Design,3543,6572.49,448,14.67
22371,Airline Bag Vintage Tokyo 78,830,3489.88,247,14.13
22372,Airline Bag Vintage World Champion,221,935.33,101,9.26
22374,Airline Bag Vintage Jet Set Red,448,1882.84,156,12.07
22375,Airline Bag Vintage Jet Set Brown,253,1056.05,96,11.0
22376,Airline Bag Vintage Jet Set White,193,820.69,82,10.01
22377,Bottle Bag Retrospot,1038,1510.89,105,14.39
22378,Wall Tidy Retrospot,1685,2092.56,103,20.32
22379,Recycling Bag Retrospot,6088,11942.43,407,29.34
22380,Toy Tidy Spaceboy,1156,2274.75,195,11.67
22381,Toy Tidy Pink Polkadot,3169,6229.58,289,21.56
22382,Lunch Bag Spaceboy Design,9912,15881.2,988,16.07
22383,Lunch Bag Suki  Design,11722,18723.7,1043,17.95
22384,Lunch Bag Pink Polkadot,10254,16349.5,931,17.56
22385,Jumbo Bag Spaceboy Design,8248,15331.02,478,32.07
22386,Jumbo Bag Pink Polkadot,20165,37289.59,871,42.81
22389,Paperweight Save The Planet,329,596.91,36,16.58
22390,Paperweight Childhood Memories,261,410.72,30,13.69
22391,Paperweight Home Sweet Home,146,186.06,18,10.34
22393,Paperweight Vintage Collage,487,617.38,49,12.6
22394,Paperweight Kings Choice,160,190.8,16,11.92
22395,Paperweight Vintage Paisley,134,130.26,15,8.68
22396,Magnets Pack Of 4 Retro Photo,1182,572.82,107,5.35
22398,Magnets Pack Of 4 Swallows,2545,1528.68,228,6.7
22399,Magnets Pack Of 4 Childhood Memory,1130,1309.9,87,15.06
22400,Magnets Pack Of 4 Home Sweet Home,1393,714.6,143,5.0
22402,Magnets Pack Of 4 Vintage Collage,1705,1008.14,144,7.0
22403,Magnets Pack Of 4 Vintage Labels,1223,569.75,85,6.7
22405,Money Box Pocket Money Design,347,351.19,54,6.5
22406,Money Box Kings Choice Design,319,336.89,64,5.26
22407,Money Box First Ade Design,94,98.07,23,4.26
22408,Money Box Confectionery Design,137,141.5,22,6.43
22409,Money Box Biscuits Design,216,270.0,45,6.0
22410,Money Box Housekeeping Design,223,212.88,46,4.63
22411,Jumbo Shopper Vintage Red Paisley,10518,20174.23,790,25.54
22412,Metal Sign Neighbourhood Witch,877,1784.7,113,15.79
22413,Metal Sign Take It Or Leave It,3690,10647.3,351,30.33
22414,Doormat Neighbourhood Witch,253,1645.67,70,23.51
22415,White Tissue Ream,19,151.05,13,11.62
22416,Set Of 36 Doilies Spaceboy Design,850,1174.9,63,18.65
22417,Pack Of 60 Spaceboy Cake Cases,8103,4131.69,407,10.15
22418,10 Colour Spaceboy Pen,6267,5209.17,242,21.53
22419,Lipstick Pen Red,2812,1236.12,157,7.87
22420,Lipstick Pen Baby Pink,1199,500.33,84,5.96
22421,Lipstick Pen Fuschia,1925,795.2,120,6.63
22422,Toothpaste Tube Pen,971,397.25,73,5.44
22423,Regency Cakestand 3 Tier,12412,142592.95,1704,83.68
22424,Enamel Bread Bin Cream,713,8519.0,326,26.13
22425,Enamel Colander Cream,434,2086.11,141,14.8
22426,Enamel Wash Bowl Cream,660,2231.8,144,15.5
22427,Enamel Flower Jug Cream,1995,11444.93,441,25.95
22428,Enamel Fire Bucket Cream,221,1528.73,92,16.62
22429,Enamel Measuring Jug Cream,1193,4954.29,315,15.73
22430,Enamel Watering Can Cream,544,2646.6,161,16.44
22431,Watering Can Blue Elephant,1981,3686.65,275,13.41
22432,Watering Can Pink Bunny,1648,3100.58,234,13.25
22433,Watering Can Green Dinosaur,1341,2487.53,189,13.16
22434,Balloon Pump With 10 Balloons,779,1521.23,112,13.58
22435,Set Of 9 Heart Shaped Balloons,2680,3257.04,213,15.29
22436,12 Coloured Party Balloons,2110,1373.3,139,9.88
22437,Set Of 9 Black Skull Balloons,2747,2263.35,174,13.01
22438,Balloon Art Make Your Own Flowers,900,825.24,68,12.14
22439,6 Rocket Balloons,1768,1176.8,156,7.54
22440,Balloon Water Bomb Pack Of 35,5897,2254.14,138,16.33
22441,Grow Your Own Basil In Enamel Mug,994,2069.4,167,12.39
22442,Grow Your Own Flowers Set Of 3,292,1177.8,74,15.92
22443,Grow Your Own Herbs Set Of 3,153,1216.35,80,15.2
22444,Grow Your Own Plant In A Can,763,935.51,33,28.35
22445,Pencil Case Life Is Beautiful,472,1368.2,93,14.71
22446,Pin Cushion Babushka Pink,161,432.99,38,11.39
22447,Pin Cushion Babushka Blue,75,223.95,16,14.0
22448,Pin Cushion Babushka Red,187,576.31,34,16.95
22449,Silk Purse Babushka Pink,365,1217.68,87,14.0
22450,Silk Purse Babushka Blue,184,614.0,52,11.81
22451,Silk Purse Babushka Red,202,657.5,38,17.3
22452,Measuring Tape Babushka Pink,388,1094.8,66,16.59
22453,Measuring Tape Babushka Blue,334,951.7,46,20.69
22454,Measuring Tape Babushka Red,228,639.0,37,17.27
22456,Natural Slate Chalkboard Large,1452,6833.2,303,22.55
22457,Natural Slate Heart Chalkboard,8480,24245.52,967,25.07
22458,Cast Iron Hook Garden Fork,513,1371.43,14,97.96
22459,Cast Iron Hook Garden Trowel,375,962.73,15,64.18
22460,Embossed Glass Tealight Holder,2381,2871.84,162,17.73
22461,Savoy Art Deco Clock,231,1251.25,45,27.81
22464,Hanging Metal Heart Lantern,3204,4823.5,278,17.35
22465,Hanging Metal Star Lantern,1965,2839.63,159,17.86
22466,Fairy Tale Cottage Nightlight,2929,5071.95,150,33.81
22467,Gumball Coat Rack,7688,17580.35,570,30.84
22468,Babushka Lights String Of 10,467,3032.39,116,26.14
22469,Heart Of Wicker Small,16775,28228.64,961,29.37
22470,Heart Of Wicker Large,9591,28520.95,801,35.61
22471,Tv Dinner Tray Air Hostess,360,1097.68,64,17.15
22472,Tv Dinner Tray Dolly Girl,293,1234.07,80,15.43
22473,Tv Dinner Tray Vintage Paisley,437,1239.39,79,15.69
22474,Spaceboy Tv Dinner Tray,244,1009.04,83,12.16
22475,Skull Design Tv Dinner Tray,281,1225.95,109,11.25
22476,Empire Union Jack Tv Dinner Tray,811,2150.77,78,27.57
