StockCode,Description,TotalQuantity,AvgQuantity,StdQuantity,FirstSale,LastSale,DaysActive,DailyTurnover
21287,Scented Velvet Lounge Candle,1788,33.11,44.92,2010-12-03 15:45:00,2011-12-06 12:26:00,367,4.87
21288,Stripey Chocolate Nesting Boxes,256,6.1,6.75,2010-12-02 12:10:00,2011-11-28 14:37:00,361,0.71
21289,Large Stripes Chocolate Gift Bag,443,23.32,37.49,2010-12-06 10:36:00,2011-11-27 13:26:00,356,1.24
21291,Small Polkadot Chocolate Gift Bag,920,23.0,24.94,2010-12-06 10:36:00,2011-11-28 14:37:00,357,2.58
21292,Small Stripes Chocolate Gift Bag,865,33.27,73.34,2010-12-01 12:43:00,2011-12-06 15:10:00,370,2.34
21293,Mirrored Dove Wall Decoration,101,5.32,5.28,2011-03-01 17:28:00,2011-12-05 17:17:00,278,0.36
21294,Etched Glass Coaster,1536,25.6,33.82,2010-12-05 12:26:00,2011-10-16 13:51:00,315,4.88
21306,Set/4 Daisy Mirror Magnets,487,13.16,15.61,2010-12-05 15:12:00,2011-12-05 11:49:00,364,1.34
21307,Set/4 Butterfly Mirror Magnets,79,6.08,8.5,2010-12-05 15:12:00,2011-07-13 12:06:00,219,0.36
21310,Capiz Chandelier,1,1.0,,2011-05-24 13:22:00,2011-05-24 13:22:00,0,inf
21311,Set/4 Bird Mirror Magnets,478,9.96,11.67,2010-12-05 15:12:00,2011-12-04 15:19:00,364,1.31
21313,Glass Heart T-Light Holder,2843,21.7,27.54,2010-12-02 11:41:00,2011-12-09 12:00:00,372,7.64
21314,Small Glass Heart Trinket Pot,3670,10.61,12.5,2010-12-01 10:47:00,2011-12-09 12:00:00,373,9.84
21316,Small Chunky Glass Roman  Bowl,149,14.9,27.34,2011-01-27 16:43:00,2011-04-10 13:36:00,72,2.07
21317,Glass Sphere Candle Stand Medium,96,3.43,3.7,2011-01-23 14:59:00,2011-12-06 10:27:00,316,0.3
21318,Glass Chalice Blue Small,680,16.19,16.24,2011-01-07 10:47:00,2011-05-06 10:10:00,118,5.76
21319,Glass Chalice Green  Small,147,12.25,21.03,2010-12-14 13:02:00,2011-04-10 13:36:00,117,1.26
21320,Glass Chalice Green  Large,186,15.5,22.28,2011-01-27 16:43:00,2011-04-07 13:09:00,69,2.7
21324,Hanging Medina Lantern Small,69,3.45,2.04,2010-12-01 09:53:00,2011-04-18 10:21:00,138,0.5
21326,Aged Glass Silver T-Light Holder,10088,35.15,48.46,2010-12-01 11:45:00,2011-12-09 11:56:00,373,27.05
21327,Skulls Writing Set,538,3.64,3.97,2010-12-01 12:23:00,2011-12-08 12:50:00,372,1.45
21328,Balloons  Writing Set,760,3.92,4.06,2010-12-01 11:21:00,2011-12-09 11:34:00,373,2.04
21329,Dinosaurs  Writing Set,589,3.42,3.74,2010-12-01 12:23:00,2011-12-09 11:34:00,372,1.58
21331,Moroccan Beaten Metal Dish Large,11,1.57,1.13,2010-12-13 15:12:00,2011-11-16 15:52:00,338,0.03
21332,Moroccan Beaten Metal Mirror,14,1.75,1.16,2011-01-09 15:13:00,2011-08-15 14:51:00,217,0.06
21333,Classic White Frame,55,3.67,2.97,2010-12-01 13:23:00,2011-04-05 12:37:00,124,0.44
21336,Gold Washbag,8,2.67,2.89,2010-12-06 14:46:00,2011-05-20 11:53:00,164,0.05
21340,Classic Metal Birdcage Plant Holder,928,3.52,4.62,2010-12-01 09:53:00,2011-12-07 12:55:00,371,2.5
21344,Moroccan Beaten Metal Dish,14,2.8,1.64,2011-07-06 11:10:00,2011-12-08 12:54:00,155,0.09
21348,Pink Spots Chocolate Nesting Boxes,139,27.8,48.11,2010-12-16 10:38:00,2011-01-26 10:51:00,41,3.39
21349,Ivy Heart Wreath,12,1.71,1.11,2010-12-02 17:48:00,2011-11-01 15:55:00,333,0.04
21351,Cinammon & Orange Wreath,101,3.06,3.77,2010-12-01 15:35:00,2011-12-09 12:20:00,372,0.27
21352,Eucalyptus & Pinecone  Wreath,311,8.41,8.9,2010-12-01 15:37:00,2011-11-15 16:42:00,349,0.89
21354,Toast Its - Best Mum,753,10.76,11.72,2010-12-01 16:11:00,2011-12-01 11:18:00,364,2.07
21355,Toast Its - I Love You,777,6.82,6.51,2010-12-02 10:39:00,2011-12-09 11:34:00,372,2.09
21356,Toast Its - Fairy Flower,304,5.53,5.78,2010-12-02 10:17:00,2011-12-05 17:17:00,368,0.83
21357,Toast Its - Dinosaur,19,1.73,0.79,2010-12-02 15:46:00,2011-03-28 12:52:00,115,0.17
21358,Toast Its - Happy Birthday,328,5.47,5.33,2010-12-01 12:43:00,2011-12-06 16:21:00,370,0.89
21359,Relax Large Wood Letters,127,4.7,5.84,2011-01-04 12:51:00,2011-08-11 14:54:00,219,0.58
21360,Joy Large Wood Letters,37,2.64,3.03,2010-12-02 09:44:00,2011-06-06 15:31:00,186,0.2
21361,Love Large Wood Letters,91,1.69,2.45,2010-12-05 13:55:00,2011-07-22 17:21:00,229,0.4
21363,Home Small Wood Letters,209,2.2,2.2,2010-12-01 09:59:00,2011-09-25 14:33:00,298,0.7
21364,Peace Small Wood Letters,25,1.19,0.4,2010-12-02 08:52:00,2011-10-13 12:38:00,315,0.08
21365,Mirrored Wall Art Stars,348,7.91,8.32,2010-12-01 16:21:00,2011-12-08 19:24:00,372,0.94
21366,Mirrored Wall Art Photo Frames,24,2.18,0.98,2010-12-06 12:21:00,2011-12-07 15:07:00,366,0.07
21367,Mirrored Wall Art Gents,163,4.66,8.52,2010-12-01 12:31:00,2011-12-05 17:17:00,369,0.44
21368,Mirrored Wall Art Ladies,161,5.19,8.94,2011-01-16 11:07:00,2011-12-05 11:31:00,323,0.5
21369,Mirrored Wall Art Splodges,98,7.54,5.09,2011-03-07 13:51:00,2011-12-05 11:31:00,272,0.36
21370,Mirrored Wall Art Foxy,15,1.88,1.13,2010-12-01 12:31:00,2011-12-07 16:56:00,371,0.04
21371,Mirrored Wall Art Poppies,275,8.59,9.1,2011-01-21 09:52:00,2011-12-08 19:24:00,321,0.86
21372,Mirrored Wall Art Table Lamp,67,2.68,2.48,2010-12-19 14:41:00,2011-11-28 15:54:00,344,0.19
21373,Mirrored Wall Art Snowflakes,507,11.27,9.16,2011-06-07 10:44:00,2011-12-07 15:07:00,183,2.77
21374,Mirrored Wall Art Skulls,294,7.35,10.05,2010-12-01 16:21:00,2011-12-01 11:10:00,364,0.81
21375,Large Camphor Wood Field Mushroom,24,2.0,0.85,2010-12-08 12:46:00,2011-12-04 10:11:00,360,0.07
21376,Large  Tall Camphor Wood Toadstool,33,2.2,1.01,2010-12-08 12:46:00,2011-12-04 10:11:00,360,0.09
21377,Small Camphor Wood Field  Mushroom,93,4.89,2.58,2010-12-03 12:24:00,2011-12-07 14:39:00,369,0.25
21378,Small Tall Camphor Wood Toadstool,129,5.86,3.08,2010-12-12 11:26:00,2011-12-07 14:39:00,360,0.36
21379,Camphor Wood Portobello Mushroom,147,6.12,3.59,2010-12-03 12:24:00,2011-12-07 14:39:00,369,0.4
21380,Wooden Happy Birthday Garland,2093,8.91,19.94,2010-12-01 17:35:00,2011-12-02 10:22:00,365,5.73
21381,Mini Wooden Happy Birthday Garland,1699,11.8,48.29,2010-12-02 11:41:00,2011-12-06 11:58:00,369,4.6
21382,Set/4 Spring Flower Decoration,1045,10.89,17.13,2010-12-09 13:03:00,2011-12-01 12:01:00,356,2.94
21383,Pack Of 12 Sticky Bunnies,772,9.19,9.81,2010-12-02 11:41:00,2011-12-08 15:02:00,371,2.08
21385,Ivory Hanging Decoration  Heart,3564,16.35,29.26,2010-12-02 12:10:00,2011-12-06 14:50:00,369,9.66
21386,Ivory Hanging Decoration  Egg,713,13.98,12.69,2010-12-15 10:17:00,2011-12-04 12:32:00,354,2.01
21389,Ivory Hanging Decoration  Bird,1018,9.98,8.68,2010-12-16 19:04:00,2011-12-04 13:55:00,352,2.89
21390,Filigris Heart With Butterfly,3781,20.66,38.56,2010-12-02 11:41:00,2011-12-06 17:23:00,369,10.25
21391,French Lavender Scent Heart,975,12.04,11.59,2010-12-16 16:45:00,2011-11-21 11:57:00,339,2.88
21392,Red Polkadot Pudding Bowl,32,4.57,3.91,2010-12-02 15:46:00,2011-03-17 19:01:00,105,0.3
21393,Blue Polkadot Pudding Bowl,29,3.62,2.56,2010-12-02 15:46:00,2011-03-28 12:23:00,115,0.25
21394,Red Polkadot Beaker,3822,33.53,26.99,2010-12-23 11:46:00,2011-11-13 11:55:00,325,11.76
21395,Blue Polkadot Beaker,2812,35.59,27.66,2011-03-20 11:43:00,2011-11-03 16:56:00,228,12.33
21397,Blue Polkadot Egg Cup,1016,23.09,19.46,2010-12-07 09:13:00,2011-04-19 16:52:00,133,7.64
21398,Red Polkadot Coffee  Mug,1499,30.59,26.31,2010-12-01 16:57:00,2011-04-19 16:52:00,138,10.86
21399,Blue Polkadot Coffee Mug,2047,32.49,25.81,2010-12-02 15:46:00,2011-06-05 10:50:00,184,11.12
21400,Red Pudding Spoon,837,17.44,10.05,2010-12-16 11:53:00,2011-12-04 14:55:00,353,2.37
21401,Blue Pudding Spoon,1010,17.12,11.78,2010-12-05 15:12:00,2011-12-06 12:21:00,365,2.77
21402,Red  Egg  Spoon,1290,21.15,15.67,2011-03-13 12:39:00,2011-11-30 17:37:00,262,4.92
21403,Blue Egg  Spoon,1718,24.2,22.29,2010-12-22 11:07:00,2011-12-06 12:21:00,349,4.92
21407,Brown Check Cat Doorstop,233,2.48,2.71,2010-12-03 11:35:00,2011-11-22 11:18:00,353,0.66
21408,Spotty Pink Duck Doorstop,225,3.31,4.33,2010-12-02 15:03:00,2011-12-08 14:39:00,370,0.61
21411,Gingham Heart  Doorstop Red,722,3.8,7.36,2010-12-01 09:59:00,2011-12-08 19:29:00,372,1.94
21413,Periwinkle T-Light Holder,36,3.6,3.24,2010-12-05 12:42:00,2011-11-13 15:29:00,343,0.1
21414,Scallop Shell Soap Dish,1,1.0,,2011-02-22 16:13:00,2011-02-22 16:13:00,0,inf
21415,Clam Shell Small,206,6.44,5.79,2010-12-02 13:49:00,2011-12-08 15:31:00,371,0.56
21416,Clam Shell Large,5,1.25,0.5,2010-12-02 13:49:00,2011-03-22 16:08:00,110,0.05
21417,Cockle Shell Dish,289,9.03,15.07,2010-12-02 13:49:00,2011-12-09 11:56:00,371,0.78
21418,Starfish Soap Dish,59,4.54,3.18,2011-02-25 11:33:00,2011-12-07 13:53:00,285,0.21
21420,Oyster Trinket Box,48,3.2,5.85,2011-01-20 12:04:00,2011-12-07 16:47:00,321,0.15
21421,Porcelain Rose Large,298,22.92,39.5,2010-12-02 07:48:00,2011-05-24 14:00:00,173,1.72
21422,Porcelain Rose Small,1560,33.91,70.43,2010-12-02 07:48:00,2011-11-28 15:54:00,361,4.32
21424,Woodland Storage Box Large,227,10.32,13.82,2010-12-17 15:58:00,2011-10-25 17:31:00,312,0.73
21425,Skulls Storage Box Large,67,4.19,5.68,2010-12-16 13:33:00,2011-12-06 16:34:00,355,0.19
21426,Woodland Storage Box Small,213,11.83,14.87,2010-12-02 15:46:00,2011-11-30 09:53:00,362,0.59
21427,Skulls Storage Box Small,77,3.08,2.58,2010-12-01 12:43:00,2011-12-06 16:34:00,370,0.21
21428,Set3 Book Box Green Gingham Flower,1099,6.01,10.71,2010-12-02 11:22:00,2011-12-06 14:35:00,369,2.98
21429,Red Gingham Rose Jewellery Box,1616,7.21,11.35,2010-12-01 14:03:00,2011-12-08 13:43:00,371,4.36
21430,Set/3 Red Gingham Rose Storage Box,2704,8.35,23.07,2010-12-02 11:41:00,2011-12-08 14:38:00,371,7.29
21439,Basket Of Toadstools,1322,16.95,49.42,2010-12-05 11:57:00,2011-12-08 13:50:00,368,3.59
21441,Blue Birdhouse Decoration,376,9.89,7.95,2010-12-01 12:36:00,2011-12-08 14:53:00,372,1.01
21442,Green Birdhouse Decoration,389,10.51,7.82,2010-12-10 11:01:00,2011-12-08 15:54:00,363,1.07
21445,12 Pink Rose Peg Place Settings,214,10.19,20.93,2010-12-05 12:15:00,2011-07-22 13:53:00,229,0.93
21446,12 Red Rose Peg Place Settings,400,4.65,7.36,2010-12-03 14:35:00,2011-12-08 19:28:00,370,1.08
21447,12 Ivory Rose Peg Place Settings,749,8.14,7.81,2010-12-05 11:49:00,2011-09-11 15:47:00,280,2.68
21448,12 Daisy Pegs In Wood Box,327,4.74,5.0,2010-12-01 11:49:00,2011-10-16 12:06:00,319,1.03
21452,Toadstool Money Box,745,5.52,9.29,2010-12-01 13:17:00,2011-12-07 14:43:00,371,2.01
21454,Painted Pink Rabbit,318,6.77,8.21,2010-12-10 13:27:00,2011-12-07 13:12:00,361,0.88
21455,Painted Yellow Wooden Daisy,271,7.74,7.61,2011-01-05 15:56:00,2011-12-07 13:12:00,335,0.81
21456,2 Picture Book Eggs Easter Chicks,161,8.47,4.36,2011-01-23 13:58:00,2011-12-07 14:39:00,318,0.51
21457,2 Picture Book Eggs Easter Ducks,115,7.19,6.04,2011-01-23 13:25:00,2011-11-09 15:09:00,290,0.4
21458,2 Picture Book Eggs Easter Bunny,158,8.32,4.07,2011-01-17 15:19:00,2011-11-09 15:09:00,295,0.54
21459,Yellow Easter Egg Hunt Start Post,75,4.17,2.87,2011-01-14 09:52:00,2011-04-18 14:50:00,94,0.8
21460,Green Easter Egg Hunt Start Post,26,2.89,2.42,2011-01-14 09:52:00,2011-03-23 11:48:00,68,0.38
21461,Blue Easter Egg Hunt Start Post,9,1.8,1.79,2011-01-16 16:23:00,2011-03-23 11:48:00,65,0.14
21462,"Nursery A,B,C Painted Letters",192,2.87,3.54,2010-12-01 15:35:00,2011-12-09 10:20:00,372,0.52
21463,Mirrored Disco Ball,644,4.92,8.27,2010-12-01 11:21:00,2011-12-07 10:11:00,370,1.74
21464,Disco Ball Rotator Battery Operated,244,2.39,2.37,2010-12-01 11:21:00,2011-12-01 14:38:00,365,0.67
21465,Pink Flower Crochet Food Cover,193,3.06,2.26,2010-12-02 13:32:00,2011-12-01 12:55:00,363,0.53
21466,Red Flower Crochet Food Cover,267,2.93,4.15,2010-12-01 13:54:00,2011-12-07 12:26:00,370,0.72
21467,Cherry Crochet Food Cover,215,2.76,3.05,2010-12-01 13:54:00,2011-12-05 13:14:00,368,0.58
21468,Butterfly Crochet Food Cover,123,2.46,2.08,2010-12-05 12:29:00,2011-11-29 13:06:00,359,0.34
21469,Polka Dot Raffia Food Cover,250,3.52,2.55,2010-12-01 13:54:00,2011-12-07 08:45:00,370,0.68
21470,Flower Vine Raffia Food Cover,338,2.94,2.19,2010-12-02 13:32:00,2011-12-05 16:04:00,368,0.92
21471,Strawberry Raffia Food Cover,495,5.27,11.82,2010-12-01 13:54:00,2011-11-23 13:51:00,356,1.39
21472,Ladybird + Bee Raffia Food Cover,119,3.61,3.75,2010-12-01 17:15:00,2011-07-15 15:32:00,225,0.53
21473,Sweetheart Cream Steel Table Rect,22,1.22,0.43,2010-12-13 15:26:00,2011-11-20 15:35:00,342,0.06
21476,Steel Sweetheart Round Table Cream,31,1.72,0.89,2011-01-25 14:33:00,2011-10-19 13:58:00,266,0.12
21479,White Skull Hot Water Bottle,2702,6.91,21.91,2010-12-01 10:52:00,2011-12-09 11:56:00,373,7.24
21481,Fawn Blue Hot Water Bottle,2925,7.56,13.88,2010-12-01 12:08:00,2011-12-09 11:59:00,372,7.86
21484,Chick Grey Hot Water Bottle,1555,5.24,7.25,2010-12-01 10:47:00,2011-12-08 12:54:00,372,4.18
21485,Retrospot Heart Hot Water Bottle,3335,6.09,22.55,2010-12-01 10:19:00,2011-12-09 11:26:00,373,8.94
21486,Pink Heart Dots Hot Water Bottle,8,2.0,0.82,2010-12-01 12:43:00,2010-12-05 12:13:00,3,2.67
21488,Red White Scarf  Hot Water Bottle,3,1.5,0.71,2010-12-01 12:35:00,2010-12-01 16:58:00,0,inf
21494,Rotating Leaves T-Light Holder,1228,9.16,13.28,2010-12-01 11:58:00,2011-12-08 13:50:00,372,3.3
21495,Skulls And Crossbones Wrap,5800,35.15,36.3,2010-12-01 14:41:00,2011-12-08 15:03:00,372,15.59
21497,Fancy Fonts Birthday Wrap,8600,37.07,80.08,2010-12-01 13:23:00,2011-12-09 12:16:00,372,23.12
21498,Red Retrospot Wrap,10547,31.39,37.75,2010-12-01 13:23:00,2011-12-08 15:03:00,372,28.35
21499,Blue Polkadot Wrap,6925,32.06,29.52,2010-12-02 15:19:00,2011-12-08 12:29:00,370,18.72
21500,Pink Polkadot Wrap,6350,29.81,23.23,2010-12-02 15:00:00,2011-12-05 09:03:00,367,17.3
21503,Toybox  Wrap,726,31.57,37.06,2010-12-19 14:41:00,2011-11-30 16:43:00,346,2.1
21504,Skulls Greeting Card,1884,19.42,20.38,2010-12-02 13:14:00,2011-12-07 13:46:00,370,5.09
21506,"Fancy Font Birthday Card,",4740,18.74,38.43,2010-12-01 10:39:00,2011-12-09 12:16:00,373,12.71
21507,"Elephant, Birthday Card,",3206,16.11,14.86,2010-12-02 15:19:00,2011-12-09 12:16:00,371,8.64
21508,Vintage Kid Dolly Card,2393,16.39,14.12,2010-12-02 15:19:00,2011-12-08 10:24:00,370,6.47
21509,Cowboys And Indians Birthday Card,3581,17.64,17.76,2010-12-01 16:21:00,2011-12-08 14:39:00,371,9.65
21518,Bank Account  Greeting  Card,265,15.59,15.1,2010-12-02 10:39:00,2011-04-05 10:58:00,124,2.14
21519,Gin & Tonic Diet Greeting Card,3217,16.84,13.02,2010-12-01 13:23:00,2011-12-08 17:12:00,372,8.65
21520,Booze & Women Greeting Card,457,13.85,10.83,2010-12-01 13:24:00,2011-11-01 13:37:00,335,1.36
21523,Doormat Fancy Font Home Sweet Home,3088,7.76,28.09,2010-12-01 09:41:00,2011-12-09 10:20:00,373,8.28
21524,Doormat Spotty Home Sweet Home,1662,4.05,7.58,2010-12-01 13:54:00,2011-12-08 20:01:00,372,4.47
21527,Red Retrospot Traditional Teapot,468,3.39,4.81,2010-12-02 11:41:00,2011-05-15 16:02:00,164,2.85
21528,Dairy Maid Traditional Teapot,179,2.01,1.68,2010-12-02 19:18:00,2011-11-29 15:09:00,361,0.5
21530,Dairy Maid Toastrack,756,9.0,8.45,2010-12-02 19:18:00,2011-12-08 13:50:00,370,2.04
21531,Red Retrospot Sugar Jam Bowl,1473,6.95,15.39,2010-12-02 18:08:00,2011-12-07 08:03:00,369,3.99
21533,Retrospot Large Milk Jug,1317,4.1,9.04,2010-12-01 09:41:00,2011-12-09 08:48:00,372,3.54
21534,Dairy Maid Large Milk Jug,327,2.5,1.98,2010-12-07 13:01:00,2011-12-07 11:42:00,364,0.9
21535,Red Retrospot Small Milk Jug,2460,7.69,19.13,2010-12-09 14:25:00,2011-12-08 17:24:00,364,6.76
21537,Red Retrospot Pudding Bowl,327,5.64,8.91,2010-12-02 11:41:00,2011-12-07 08:45:00,369,0.89
21538,Dairy Maid  Pudding Bowl,5,2.5,2.12,2010-12-02 11:41:00,2010-12-09 13:34:00,7,0.71
21539,Red Retrospot Butter Dish,939,4.37,6.82,2010-12-02 15:18:00,2011-11-01 14:54:00,333,2.82
21544,Skulls  Water Transfer Tattoos,1872,16.28,22.76,2010-12-01 11:41:00,2011-12-08 11:43:00,372,5.03
21547,Ceramic Birdhouse Crested Tit Small,72,4.24,1.92,2010-12-06 15:25:00,2011-03-22 13:11:00,105,0.69
21555,Ceramic Strawberry Trinket Tray,55,4.58,3.29,2010-12-05 11:57:00,2011-11-06 16:07:00,336,0.16
21556,Ceramic Strawberry Money Box,804,17.11,63.81,2010-12-01 12:08:00,2011-11-23 12:20:00,357,2.25
21557,Set Of 6 Funky Beakers,300,5.77,16.47,2010-12-01 09:41:00,2011-12-06 12:19:00,370,0.81
21558,Skull Lunch Box With Cutlery,1946,7.08,13.22,2010-12-03 14:35:00,2011-12-05 13:14:00,366,5.32
21559,Strawberry Lunch Box With Cutlery,3716,8.48,17.14,2010-12-01 09:37:00,2011-12-09 10:13:00,373,9.96
21561,Dinosaur Lunch Box With Cutlery,1227,7.3,13.11,2010-12-02 12:28:00,2011-12-08 11:43:00,370,3.32
21562,Hawaiian Grass Skirt,319,12.76,17.64,2010-12-10 09:33:00,2011-11-21 12:53:00,346,0.92
21563,Red Heart Shape Love Bucket,1358,10.13,29.24,2010-12-02 12:18:00,2011-12-09 10:46:00,371,3.66
21564,Pink  Heart Shape Love Bucket,1016,9.86,32.27,2010-12-03 12:24:00,2011-12-09 10:46:00,370,2.75
21576,Lets Go Shopping Cotton Tote Bag,177,3.85,2.16,2010-12-01 14:05:00,2011-12-08 11:25:00,371,0.48
21577,Save The Planet Cotton Tote Bag,549,4.73,2.93,2010-12-01 12:31:00,2011-12-02 13:20:00,366,1.5
21578,Woodland Design  Cotton Tote Bag,586,6.98,9.44,2010-12-02 15:46:00,2011-11-06 12:50:00,338,1.73
21579,Lolita  Design  Cotton Tote Bag,154,4.53,3.33,2010-12-01 14:05:00,2011-12-06 12:19:00,369,0.42
21580,Rabbit  Design  Cotton Tote Bag,90,3.75,2.94,2010-12-05 13:21:00,2011-11-30 15:31:00,360,0.25
21581,Skulls  Design  Cotton Tote Bag,165,4.12,3.0,2010-12-02 15:46:00,2011-11-25 13:30:00,357,0.46
21584,Retrospot Small Tube Matches,1066,6.7,10.22,2010-12-01 12:23:00,2011-12-07 12:21:00,370,2.88
21586,Kings Choice Giant Tube Matches,731,11.08,26.1,2010-12-01 12:15:00,2011-11-07 11:16:00,340,2.15
21587,Cosy Hour Giant Tube Matches,197,6.57,9.01,2010-12-01 11:21:00,2011-10-18 10:53:00,320,0.62
21588,Retrospot Giant Tube Matches,1497,10.85,32.11,2010-12-01 12:43:00,2011-12-08 11:43:00,371,4.04
21591,Cosy Hour Cigar Box Matches,1187,7.71,14.13,2010-12-01 12:15:00,2011-12-09 11:34:00,372,3.19
21592,Retrospot Cigar Box Matches,2151,9.56,24.79,2010-12-01 11:21:00,2011-12-08 14:39:00,372,5.78
21609,Set 12 Lavender  Botanical T-Lights,761,10.15,22.86,2010-12-01 11:45:00,2011-08-30 14:09:00,272,2.8
21613,S/12 Vanilla  Botanical T-Lights,221,5.82,7.82,2010-12-05 16:24:00,2011-10-27 13:33:00,325,0.68
21614,Set Of 12 Rose Botanical T-Lights,48,6.86,4.85,2011-04-19 10:19:00,2011-05-31 10:43:00,42,1.14
21615,4 Lavender Botanical Dinner Candles,840,8.08,13.18,2010-12-09 12:20:00,2011-12-04 15:00:00,360,2.33
21616,4 Pear Botanical Dinner Candles,755,6.99,7.89,2010-12-05 15:12:00,2011-12-08 13:04:00,367,2.06
21617,4 Lily  Botanical Dinner Candles,473,5.91,6.54,2010-12-06 17:16:00,2011-11-20 11:33:00,348,1.36
21618,4 Wildflower Botanical Candles,303,5.22,6.03,2010-12-06 12:41:00,2011-11-14 17:40:00,343,0.88
21619,4 Vanilla Botanical Candles,900,7.2,12.56,2010-12-13 13:10:00,2011-12-08 13:50:00,360,2.5
21620,Set Of 4 Rose Botanical Candles,811,6.19,5.57,2010-12-01 16:57:00,2011-12-09 11:26:00,372,2.18
21621,Vintage Union Jack Bunting,2540,6.32,17.55,2010-12-01 12:31:00,2011-12-06 13:20:00,370,6.86
21622,Vintage Union Jack Cushion Cover,364,3.87,2.95,2010-12-01 10:03:00,2011-12-07 14:12:00,371,0.98
21623,Vintage Union Jack Memoboard,3255,15.65,74.15,2010-12-02 13:32:00,2011-12-08 13:18:00,370,8.8
21624,Vintage Union Jack Doorstop,204,2.4,2.27,2010-12-05 13:55:00,2011-12-04 12:52:00,363,0.56
21625,Vintage Union Jack Apron,307,2.6,1.83,2010-12-01 13:21:00,2011-12-07 15:07:00,371,0.83
21626,Vintage Union Jack Pennant,742,9.76,7.42,2010-12-05 11:04:00,2011-11-21 16:24:00,351,2.11
21627,Elephant Carnival Pouffe,38,1.58,1.21,2010-12-07 10:47:00,2011-10-24 14:47:00,321,0.12
21628,Triangular Pouffe Vintage,44,2.59,3.04,2010-12-09 11:48:00,2011-12-08 11:25:00,363,0.12
21629,Square Floor Cushion Vintage Red,53,1.96,1.51,2010-12-01 16:57:00,2011-12-08 19:28:00,372,0.14
21630,Floor Cushion Elephant Carnival,54,2.45,2.58,2010-12-05 13:17:00,2011-12-07 12:19:00,366,0.15
21631,Hippy Chic Decorative Parasol,155,9.69,7.2,2010-12-14 12:59:00,2011-11-17 14:24:00,338,0.46
21632,Vintage Pink Decorative Parasol,60,12.0,0.0,2010-12-14 12:59:00,2011-01-05 10:35:00,21,2.86
21633,Sunflower Decorative Parasol,87,6.21,8.17,2010-12-16 17:43:00,2011-11-21 10:27:00,339,0.26
21634,Assorted Mini Madras Notebook,948,41.22,56.38,2011-03-04 10:21:00,2011-10-16 15:13:00,226,4.19
21635,Madras Notebook Large,270,18.0,35.39,2010-12-05 12:42:00,2011-07-13 11:00:00,219,1.23
21636,Madras Notebook Medium,917,11.76,15.28,2011-02-10 09:21:00,2011-12-05 14:29:00,298,3.08
21637,Assorted Sanskrit Mini Notebook,109,18.17,11.07,2011-03-20 15:02:00,2011-10-10 15:27:00,204,0.53
21638,Assorted Tutti Frutti Notebook,235,7.34,8.9,2010-12-06 13:34:00,2011-12-08 13:50:00,367,0.64
21640,Assorted Tutti Frutti  Fob Notebook,541,10.21,15.64,2010-12-05 16:00:00,2011-12-08 13:50:00,367,1.47
21641,Assorted Tutti Frutti Keyring Ball,1102,47.91,100.34,2011-02-10 16:52:00,2011-09-16 13:32:00,217,5.08
21642,Assorted Tutti Frutti Pen,2452,26.37,33.32,2010-12-03 14:54:00,2011-12-05 17:36:00,367,6.68
21643,Assorted Tutti Frutti Mirror,490,15.81,16.98,2010-12-01 16:57:00,2011-11-15 14:32:00,348,1.41
21644,Assorted Tutti Frutti Heart Box,215,6.32,5.37,2010-12-06 13:13:00,2011-11-27 16:27:00,356,0.6
21647,Assorted Tutti Frutti Large Purse,117,4.03,4.08,2010-12-06 12:41:00,2011-11-27 12:00:00,355,0.33
21648,Assorted Tutti Frutti Small Purse,654,19.82,22.13,2010-12-06 12:40:00,2011-11-15 14:32:00,344,1.9
21650,Assorted Tutti Frutti Bracelet,2197,32.31,40.13,2010-12-05 12:53:00,2011-12-07 12:55:00,367,5.99
21651,Hanging Glass Etched Tealight,131,11.91,12.32,2010-12-01 12:15:00,2011-02-21 13:51:00,82,1.6
21654,Ridged Glass Finger Bowl,946,18.92,24.15,2010-12-01 13:21:00,2011-09-18 12:21:00,290,3.26
21655,Hanging Ridge Glass T-Light Holder,36,18.0,8.49,2011-01-11 13:54:00,2011-02-11 13:53:00,30,1.2
21656,Ridged Glass Posy Vase,117,6.88,3.9,2010-12-15 12:09:00,2011-04-21 13:22:00,127,0.92
21657,Milk Bottle With Glass Stopper,28,1.87,1.41,2010-12-01 13:21:00,2011-02-20 13:18:00,80,0.35
21658,Glass  Beurre Dish,773,5.95,8.52,2010-12-01 13:21:00,2011-07-19 12:10:00,229,3.38
21661,Vintage Glass Tea Caddy,3,1.0,0.0,2011-01-04 11:34:00,2011-02-22 13:20:00,49,0.06
21662,Vintage Glass Coffee Caddy,74,4.62,11.59,2010-12-01 13:21:00,2011-08-15 14:17:00,257,0.29
21664,Ridged Glass Storage Jar Cream Lid,97,5.11,10.59,2010-12-01 12:49:00,2011-10-17 12:22:00,319,0.3
21666,Ridged Glass T-Light Holder,384,11.64,8.58,2010-12-13 15:12:00,2011-12-06 11:39:00,357,1.08
21667,Glass Cake Cover And Plate,2,2.0,,2011-01-12 12:31:00,2011-01-12 12:31:00,0,inf
21668,Red Stripe Ceramic Drawer Knob,5035,14.68,20.1,2010-12-01 15:21:00,2011-12-09 11:34:00,372,13.53
